Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,age,make,model,mileage_new,engine_new,power_new,KM_Driven
Honda Brio VX AT,Mumbai,2014,35000,Petrol,Automatic,First,16.5 kmpl,1198 CC,86.8 bhp,5.0,,4.25,6,honda,brio,16.5,1198.0,86.8,3
Maruti Wagon R VXI,Ahmedabad,2011,75000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,2.6,9,maruti,wagon,18.9,998.0,67.1,7
Toyota Camry A/T,Mumbai,2008,80000,Petrol,Automatic,Second,12.1 kmpl,2362 CC,164.7 bhp,5.0,,3.43,12,toyota,camry,12.1,2362.0,164.7,8
Chevrolet Beat LS,Kochi,2012,32717,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,,2.55,8,chevrolet,beat,18.6,1199.0,79.4,3
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,6.25,6,ford,ecosport,22.7,1498.0,89.84,7
Maruti Swift Vdi BSIII,Hyderabad,2010,86000,Diesel,Manual,Second,17.8 kmpl,1248 CC,75 bhp,5.0,,3.6,10,maruti,swift,17.8,1248.0,75.0,8
Honda Mobilio S i VTEC,Mumbai,2015,25000,Petrol,Manual,Second,17.3 kmpl,1497 CC,117.3 bhp,7.0,,4.25,5,honda,mobilio,17.3,1497.0,117.3,2
Hyundai Grand i10 Sportz,Mumbai,2017,8500,Petrol,Manual,Second,18.9 kmpl,1197 CC,82 bhp,5.0,,4.8,3,hyundai,grand,18.9,1197.0,82.0,0
Mahindra XUV500 AT W8 FWD,Bangalore,2015,34000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7.0,,13.0,5,mahindra,xuv500,16.0,2179.0,140.0,3
Skoda Fabia 1.6 MPI Elegance,Pune,2012,41629,Petrol,Manual,Second,14.83 kmpl,1598 CC,105 bhp,5.0,,2.25,8,skoda,fabia,14.83,1598.0,105.0,4
Hyundai Santro Xing GLS,Hyderabad,2009,80227,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,,2.3,11,hyundai,santro,17.92,1086.0,62.1,8
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,8587,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,,13.56,1,hyundai,creta,15.29,1591.0,121.3,0
Mahindra Scorpio 1.99 S8,Delhi,2017,30000,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7.0,,12.25,3,mahindra,scorpio,15.4,1997.0,120.0,3
Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,Diesel,Manual,First,20.5 kmpl,1598 CC,103.5 bhp,5.0,,3.76,7,skoda,rapid,20.5,1598.0,103.5,6
Renault Duster 110PS Diesel RxZ,Coimbatore,2015,76427,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,8.58,5,renault,duster,19.01,1461.0,108.45,7
Toyota Etios G,Coimbatore,2013,27075,Petrol,Manual,First,17.6 kmpl,1496 CC,88.73 bhp,5.0,,4.95,7,toyota,etios,17.6,1496.0,88.73,2
Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,4.74 Lakh,3.3,8,maruti,wagon,22.5,998.0,67.04,3
Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,14.84 Lakh,8.0,4,hyundai,creta,15.8,1591.0,121.3,6
Maruti Celerio VXI,Jaipur,2014,56000,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,,2.79,6,maruti,celerio,23.1,998.0,67.04,5
Chevrolet Beat LT,Pune,2014,8700,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5.0,,2.55,6,chevrolet,beat,18.6,1199.0,76.8,0
Tata Nano Twist XT,Ahmedabad,2014,18000,Petrol,Manual,Second,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.0,6,tata,nano,25.4,624.0,37.5,1
Mercedes-Benz E-Class 280 CDI,Kochi,2009,80464,Diesel,Automatic,Second,11.0 kmpl,2987 CC,198.5 bhp,5.0,,9.29,11,mercedes-benz,e-class,11.0,2987.0,198.5,8
Maruti Swift VXI,Kochi,2019,20667,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,,6.37,1,maruti,swift,22.0,1197.0,81.8,2
Fiat Linea T Jet,Coimbatore,2013,60283,Petrol,Manual,First,14.6 kmpl,1368 CC,112 bhp,5.0,,2.98,7,fiat,linea,14.6,1368.0,112.0,6
Maruti Swift VXI Optional,Kochi,2017,31696,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,,5.75,3,maruti,swift,20.4,1197.0,81.8,3
Toyota Fortuner 3.0 Diesel,Hyderabad,2010,100000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,,13.0,10,toyota,fortuner,11.5,2982.0,171.0,10
Maruti Ertiga ZXI,Mumbai,2014,13361,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,,6.8,6,maruti,ertiga,16.02,1373.0,93.7,1
BMW 3 Series 320i Sedan,Coimbatore,2010,48394,Petrol,Automatic,First,12.05 kmpl,1995 CC,154 bhp,5.0,,10.49,10,bmw,3,12.05,1995.0,154.0,4
Maruti Ertiga VXI,Jaipur,2014,47399,Petrol,Manual,First,16.02 kmpl,1373 CC,93.7 bhp,7.0,,5.6,6,maruti,ertiga,16.02,1373.0,93.7,4
Honda City 1.5 V AT,Mumbai,2010,69000,Petrol,Automatic,Second,16.8 kmpl,1497 CC,118 bhp,5.0,,2.85,10,honda,city,16.8,1497.0,118.0,6
Hyundai Santa Fe 4X4,Coimbatore,2013,65278,Diesel,Manual,First,14.66 kmpl,2199 CC,194.3 bhp,7.0,,8.36,7,hyundai,santa,14.66,2199.0,194.3,6
Tata Indigo LS,Jaipur,2005,108000,Diesel,Manual,First,17.0 kmpl,1405 CC,70 bhp,5.0,,1.0,15,tata,indigo,17.0,1405.0,70.0,10
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,50645,Petrol,Automatic,Second,10.93 kmpl,2497 CC,204 bhp,5.0,,10.75,10,mercedes-benz,e-class,10.93,2497.0,204.0,5
Maruti Swift Dzire LDi,Hyderabad,2011,130002,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,3.85,9,maruti,swift,19.3,1248.0,73.9,13
Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2012,107000,Diesel,Manual,First,17.8 kmpl,1399 CC,67 bhp,5.0,,3.0,8,ford,fiesta,17.8,1399.0,67.0,10
Honda City i VTEC CVT VX,Coimbatore,2015,41950,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,,9.6,5,honda,city,18.0,1497.0,117.3,4
Toyota Fortuner 4x2 Manual,Delhi,2012,109000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.25,8,toyota,fortuner,13.0,2982.0,168.5,10
Honda Amaze VX O i VTEC,Mumbai,2016,9000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,5.75,4,honda,amaze,18.0,1198.0,86.7,0
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,,6.75,6,hyundai,i20,22.54,1396.0,88.73,4
Chevrolet Enjoy TCDi LTZ 7 Seater,Bangalore,2013,64000,Diesel,Manual,Second,18.2 kmpl,1248 CC,73.8 bhp,7.0,,4.85,7,chevrolet,enjoy,18.2,1248.0,73.8,6
Maruti SX4 ZXI AT Leather,Mumbai,2009,77652,Petrol,Automatic,First,12.6 kmpl,1586 CC,103.2 bhp,5.0,,2.85,11,maruti,sx4,12.6,1586.0,103.2,7
Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100 bhp,7.0,,9.51,8,toyota,innova,12.99,2494.0,100.0,5
BMW 5 Series 2003-2012 520d,Ahmedabad,2012,59900,Diesel,Automatic,Second,18.48 kmpl,1995 CC,177 bhp,5.0,,18.5,8,bmw,5,18.48,1995.0,177.0,5
Renault Duster 110PS Diesel RxZ,Delhi,2015,73539,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,6.75,5,renault,duster,19.01,1461.0,108.45,7
Honda City ZX GXi,Kochi,2009,69690,Petrol,Manual,First,17.7 kmpl,1497 CC,78 bhp,5.0,,3.29,11,honda,city,17.7,1497.0,78.0,6
Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,9.5,4,maruti,ciaz,28.09,1248.0,88.5,4
Maruti Swift Dzire VXi,Pune,2010,109200,Petrol,Manual,Second,17.5 kmpl,1298 CC,85.8 bhp,5.0,,2.2,10,maruti,swift,17.5,1298.0,85.8,10
Mahindra XUV500 W6 2WD,Pune,2012,80000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,6.5,8,mahindra,xuv500,15.1,2179.0,140.0,8
Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2007,51000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,,4.9,13,honda,civic,13.5,1799.0,130.0,5
Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47 kmpl,1248 CC,88.50 bhp,7.0,12.34 Lakh,6.75,7,maruti,ertiga,25.47,1248.0,88.5,10
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13 kmpl,1498 CC,108.4 bhp,5.0,15.38 Lakh,10.5,3,skoda,rapid,21.13,1498.0,108.4,3
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,Diesel,Manual,First,20.14 kmpl,1498 CC,88.8 bhp,5.0,,6.2,5,volkswagen,polo,20.14,1498.0,88.8,5
Skoda Laura 1.9 TDI AT Elegance,Jaipur,2009,48000,Diesel,Automatic,First,17.0 kmpl,1896 CC,105 bhp,5.0,,5.0,11,skoda,laura,17.0,1896.0,105.0,4
Mahindra Renault Logan 1.5 DLE Diesel,Chennai,2007,35000,Diesel,Manual,First,19.2 kmpl,1461 CC,65 bhp,5.0,,2.3,13,mahindra,renault,19.2,1461.0,65.0,3
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,19.21 Lakh,17.0,4,toyota,innova,11.36,2755.0,171.5,10
Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5.0,,5.65,5,honda,jazz,27.3,1498.0,98.6,6
Honda Amaze VX i-DTEC,Kochi,2015,62550,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.6,5,honda,amaze,25.8,1498.0,98.6,6
Maruti Swift Dzire VDI,Coimbatore,2016,38461,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,7.39,4,maruti,swift,26.59,1248.0,74.0,3
Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5.0,22.95 Lakh,19.0,2,jeep,compass,17.1,1956.0,170.0,2
Toyota Corolla Altis 1.8 Sport,Pune,2010,31000,Petrol,Manual,First,12.5 kmpl,1794 CC,132 bhp,5.0,,5.0,10,toyota,corolla,12.5,1794.0,132.0,3
Honda City 1.5 V MT,Kolkata,2011,42086,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,3.35,9,honda,city,17.0,1497.0,118.0,4
Maruti Swift ZXI,Chennai,2013,49000,Petrol,Manual,First,18.6 kmpl,1197 CC,85.8 bhp,5.0,,4.45,7,maruti,swift,18.6,1197.0,85.8,4
Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,,8.31,1,hyundai,verna,22.32,1582.0,126.32,7
Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96 kmpl,2523 CC,62.1 bhp,7.0,11.15 Lakh,6.0,8,mahindra,bolero,15.96,2523.0,62.1,10
Maruti Swift VDI,Chennai,2014,35000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,5.25,6,maruti,swift,22.9,1248.0,74.0,3
Hyundai Santro Xing XO,Chennai,2006,83072,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,1.4,14,hyundai,santro,17.0,1086.0,,8
Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,Petrol,Manual,Third,13.8 kmpl,1299 CC,70 bhp,5.0,,1.5,16,ford,ikon,13.8,1299.0,70.0,12
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14 kmpl,1498 CC,88 bhp,5.0,10.32 Lakh,8.12,2,volkswagen,polo,20.14,1498.0,88.0,3
Mahindra Bolero VLX CRDe,Coimbatore,2012,60271,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,7.0,,6.12,8,mahindra,bolero,13.6,2523.0,63.0,6
Honda City i DTEC VX Option,Coimbatore,2017,45366,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,,10.88,3,honda,city,25.1,1498.0,98.6,4
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,9500,Petrol,Manual,First,18.2 kmpl,1199 CC,82.5 bhp,5.0,,3.5,6,chevrolet,sail,18.2,1199.0,82.5,0
Hyundai i20 1.2 Spotz,Kochi,2016,42362,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.15,4,hyundai,i20,18.6,1197.0,81.83,4
BMW X1 sDrive 20d Exclusive,Mumbai,2012,15200,Diesel,Automatic,First,15.06 kmpl,1995 CC,177 bhp,5.0,,13.5,8,bmw,x1,15.06,1995.0,177.0,1
Toyota Fortuner 4x2 AT,Mumbai,2015,43690,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,17.11,5,toyota,fortuner,12.55,2982.0,168.5,4
Maruti Ertiga VDI,Kolkata,2013,53073,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,5.95,7,maruti,ertiga,20.77,1248.0,88.76,5
Hyundai i20 1.2 Magna,Bangalore,2015,59000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,5.75,5,hyundai,i20,18.5,1197.0,80.0,5
Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,Petrol,Automatic,Second,10.13 kmpl,3498 CC,364.9 bhp,5.0,,19.0,14,mercedes-benz,s,10.13,3498.0,364.9,4
Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,4.75,6,renault,duster,20.45,1461.0,83.8,5
Mahindra Quanto C2,Hyderabad,2013,80430,Diesel,Manual,Second,17.21 kmpl,1493 CC,100 bhp,7.0,,3.3,7,mahindra,quanto,17.21,1493.0,100.0,8
Toyota Fortuner 4x2 AT,Delhi,2013,71932,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,,16.5,7,toyota,fortuner,12.55,2982.0,168.5,7
Maruti Swift Dzire VDi,Hyderabad,2011,81759,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,,4.39,9,maruti,swift,19.3,1248.0,73.9,8
Maruti Swift LDI Optional,Kochi,2018,52010,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,6.2,2,maruti,swift,25.2,1248.0,74.0,5
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mumbai,2008,93000,Diesel,Manual,Third,10.5 kmpl,2835 CC,107.2 bhp,6.0,,5.45,12,mitsubishi,pajero,10.5,2835.0,107.2,9
Skoda Octavia Ambition 2.0 TDI AT,Mumbai,2015,50000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5.0,,11.69,5,skoda,octavia,19.3,1968.0,141.0,5
Maruti Omni 8 Seater BSII,Pune,2010,60000,Petrol,Manual,First,19.7 kmpl,796 CC,35 bhp,8.0,,1.45,10,maruti,omni,19.7,796.0,35.0,6
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5.0,15.86 Lakh,9.45,4,volkswagen,vento,21.5,1498.0,108.5,2
Mahindra XUV500 W10 2WD,Ahmedabad,2015,73000,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,12.5,5,mahindra,xuv500,16.0,2179.0,140.0,7
Nissan Terrano XL 85 PS,Hyderabad,2014,59962,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.9,6,nissan,terrano,20.45,1461.0,83.8,5
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,,5.8,8,hyundai,verna,22.32,1582.0,126.32,7
Mahindra Scorpio S4 Plus,Bangalore,2015,35000,Diesel,Manual,Second,15.4 kmpl,2179 CC,120 bhp,7.0,,8.5,5,mahindra,scorpio,15.4,2179.0,120.0,3
Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,Diesel,Manual,First,23.9 kmpl,1582 CC,126.2 bhp,5.0,,10.7,3,hyundai,verna,23.9,1582.0,126.2,3
Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,,12.0,11,audi,q7,12.07,2967.0,241.4,9
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,Petrol,Manual,First,14.7 kmpl,1150 CC,76 bhp,5.0,,2.44,10,chevrolet,aveo,14.7,1150.0,76.0,6
Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,7.0,,1.95,20,mahindra,bolero,13.6,2523.0,63.0,12
Hyundai Xcent 1.2 Kappa S,Mumbai,2014,7400,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,,4.35,6,hyundai,xcent,19.1,1197.0,82.0,0
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.43 Lakh,17.5,3,toyota,innova,13.68,2393.0,147.8,5
Hyundai EON Era Plus,Hyderabad,2015,68764,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,2.9,5,hyundai,eon,21.1,814.0,55.2,6
Volkswagen Polo Diesel Comfortline 1.2L,Delhi,2013,64000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.9,7,volkswagen,polo,22.07,1199.0,73.9,6
Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,10.65 Lakh,8.9,4,maruti,vitara,24.3,1248.0,88.5,2
BMW 3 Series 320d Prestige,Mumbai,2013,37500,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,,16.75,7,bmw,3,18.88,1995.0,184.0,3
Hyundai EON Sportz,Coimbatore,2016,14077,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,3.95,4,hyundai,eon,21.1,814.0,55.2,1
Honda City 1.5 S MT,Mumbai,2009,70000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,,2.1,11,honda,city,17.0,1497.0,118.0,7
Honda Accord 2.4 MT,Kochi,2011,54316,Petrol,Manual,Second,12.8 kmpl,2354 CC,177.6 bhp,5.0,,4.29,9,honda,accord,12.8,2354.0,177.6,5
Mahindra Xylo E8,Hyderabad,2009,90764,Diesel,Manual,First,14.0 kmpl,2498 CC,112 bhp,8.0,,3.85,11,mahindra,xylo,14.0,2498.0,112.0,9
Honda City V MT,Pune,2013,127000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.5,7,honda,city,16.8,1497.0,116.3,12
Mahindra XUV500 W10 2WD,Kochi,2016,51884,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,,12.46,4,mahindra,xuv500,16.0,2179.0,140.0,5
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,67407,Diesel,Manual,First,21.27 kmpl,1396 CC,88.76 bhp,5.0,,4.65,6,hyundai,i20,21.27,1396.0,88.76,6
Mahindra Bolero DI BSII,Chennai,2006,82453,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,8.0,,2.9,14,mahindra,bolero,13.6,2523.0,63.0,8
Maruti Esteem Vxi - BSIII,Chennai,2007,30441,Petrol,Manual,First,15.9 kmpl,1298 CC,85 bhp,5.0,,1.45,13,maruti,esteem,15.9,1298.0,85.0,3
Hyundai i20 Sportz Option,Delhi,2013,48454,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,3.5,7,hyundai,i20,17.0,1197.0,80.0,4
Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.1 kmpl,2179 CC,154 bhp,7.0,16.95 Lakh,11.25,3,tata,safari,14.1,2179.0,154.0,3
Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7.0,15.45 Lakh,10.79,3,honda,br-v,21.9,1498.0,98.6,3
Volkswagen Jetta 2013-2015 2.0L TDI Highline,Kolkata,2013,58000,Diesel,Manual,First,19.33 kmpl,1968 CC,138.03 bhp,5.0,,5.9,7,volkswagen,jetta,19.33,1968.0,138.03,5
Hyundai Xcent 1.2 Kappa S Option,Jaipur,2017,28360,Petrol,Manual,First,19.1 kmpl,1197 CC,81.86 bhp,5.0,,5.12,3,hyundai,xcent,19.1,1197.0,81.86,2
Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5.0,7.87 Lakh,5.7,3,maruti,ignis,20.89,1197.0,81.8,0
Ford Ikon 1.3 CLXi,Hyderabad,2007,92000,Petrol,Manual,First,13.8 kmpl,1299 CC,70 bhp,5.0,,1.25,13,ford,ikon,13.8,1299.0,70.0,9
Hyundai i10 Sportz,Kolkata,2013,25000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.65,7,hyundai,i10,20.36,1197.0,78.9,2
Hyundai Verna 1.6 CRDI,Coimbatore,2016,37882,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,,9.19,4,hyundai,verna,22.32,1582.0,126.3,3
Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Delhi,2011,61000,Petrol,Automatic,First,12.3 kmpl,1796 CC,185 bhp,5.0,,12.5,9,mercedes-benz,e-class,12.3,1796.0,185.0,6
Chevrolet Beat Option Pack,Kolkata,2010,35000,Petrol,Manual,Second,18.6 kmpl,1199 CC,79.4 bhp,5.0,,1.5,10,chevrolet,beat,18.6,1199.0,79.4,3
Tata Indica DLS,Jaipur,2009,82000,Diesel,Manual,Second,13.5 kmpl,1405 CC,null bhp,5.0,,0.75,11,tata,indica,13.5,1405.0,,8
Mahindra XUV500 W8 2WD,Delhi,2012,72450,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,8.1,8,mahindra,xuv500,15.1,2179.0,140.0,7
Maruti Ciaz ZDi Plus SHVS,Jaipur,2017,36381,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,,9.75,3,maruti,ciaz,28.09,1248.0,88.5,3
Honda City ZX CVT,Chennai,2005,100000,Petrol,Automatic,Third,16.4 kmpl,1497 CC,78 bhp,5.0,,1.96,15,honda,city,16.4,1497.0,78.0,10
Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,4.7 Lakh,2.75,9,maruti,alto,24.07,998.0,67.1,6
Hyundai i20 1.4 Magna ABS,Chennai,2009,47000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5.0,,2.8,11,hyundai,i20,21.9,1396.0,90.0,4
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0 kmpl,1497 CC,117.3 bhp,7.0,15.02 Lakh,9.25,3,honda,brv,16.0,1497.0,117.3,1
Toyota Corolla Executive (HE),Chennai,2007,89000,Petrol,Manual,First,13.4 kmpl,1794 CC,125 bhp,5.0,,3.0,13,toyota,corolla,13.4,1794.0,125.0,8
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,Mumbai,2014,35000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,,12.75,6,toyota,innova,12.99,2494.0,100.6,3
Hyundai Grand i10 CRDi Sportz,Jaipur,2014,64000,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,,4.15,6,hyundai,grand,24.0,1120.0,70.0,6
Volkswagen Vento IPL II Petrol Highline AT,Mumbai,2013,36000,Petrol,Automatic,First,14.8 kmpl,1598 CC,105 bhp,5.0,,4.65,7,volkswagen,vento,14.8,1598.0,105.0,3
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Delhi,2012,78600,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,8.9,8,toyota,innova,12.8,2494.0,102.0,7
Maruti Ritz VDi,Pune,2015,65000,Diesel,Manual,Second,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.27,5,maruti,ritz,23.2,1248.0,73.94,6
Audi Q7 3.0 TDI Quattro Technology,Pune,2008,120300,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,,18.0,12,audi,q7,12.07,2967.0,241.4,12
Hyundai i20 Asta Option 1.2,Pune,2016,21000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,,6.3,4,hyundai,i20,18.6,1197.0,81.83,2
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,12.56 Lakh,11.31,3,maruti,vitara,24.3,1248.0,88.5,1
Honda City i VTEC S,Pune,2014,58407,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,,6.16,6,honda,city,17.4,1497.0,117.3,5
Maruti Ciaz ZXi,Pune,2014,49500,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5.0,,6.0,6,maruti,ciaz,20.73,1373.0,91.1,4
Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5 kmpl,1498 CC,99.6 bhp,5.0,11.33 Lakh,5.43,7,nissan,sunny,17.5,1498.0,99.6,3
Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,4.65,8,volkswagen,polo,22.07,1199.0,73.9,6
Maruti Ertiga ZDI,Hyderabad,2015,59000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,,7.5,5,maruti,ertiga,20.77,1248.0,88.8,5
Maruti Swift Dzire VDI,Jaipur,2015,60000,Diesel,Manual,First,26.59 kmpl,1248 CC,74 bhp,5.0,,6.25,5,maruti,swift,26.59,1248.0,74.0,6
